ID,label,calories,fat,protein,carbohydrate,sugar,potassium
265,hazelnut,559.375,54.050,47.936,1.000,6.625,9.224
266,praline,485.000,55.790,25.900,0.000,3.500,3.300
267,rediburger,146.000,1.200,2.800,0.000,4.300,21.900
268,primavera,101.000,1.400,3.800,2.000,2.400,3.800
269,white,189.962,59.000,32.090,143.000,26.200,84.630
270,oogruk,363.833,0.000,99.600,56.167,0.000,38.530
271,prego,70.381,8.064,2.046,4.000,2.414,1.787
272,crispbread,366.000,1.070,1.300,0.000,16.500,7.900
273,tree,166.000,0.000,0.703,0.000,14.900,3.792
274,medley,260.273,20.011,4.967,1.000,4.864,5.985
275,preformed,505.000,4.080,24.740,0.000,2.700,5.300
276,rennin,168.143,0.000,1.949,5.571,5.100,2.276
277,flame,128.000,0.400,4.400,0.000,3.700,15.200
278,iron,244.268,23.702,12.484,32.000,9.400,6.078
279,evaporated,120.250,7.857,5.720,22.750,0.000,6.995
280,highfat,526.000,0.000,37.100,0.000,0.000,30.780
281,readytoheat,269.300,5.593,7.905,82.000,2.220,6.555
282,goya,433.000,2.350,13.350,0.000,3.800,14.250
283,mini,353.519,23.940,12.300,28.000,2.796,5.107
284,boston,203.067,36.110,11.137,68.933,4.700,19.019
285,croissanwich,322.333,3.503,21.003,101.667,1.067,12.057
286,asparagu,39.286,0.772,5.650,9.000,1.479,2.364
287,riblet,165.000,17.200,2.300,0.000,4.300,11.400
288,raw,156.674,38.800,94.160,3010.000,25.900,14.920
289,quisp,406.000,43.360,6.080,0.000,2.300,4.510
290,lulo,25.000,3.740,0.220,0.000,1.100,0.440
291,ocean,74.200,3.750,1.098,46.800,0.000,14.358
292,leafy,28.167,1.040,0.257,0.000,1.900,4.323
293,ray,192.000,38.370,0.430,0.000,1.300,0.950
294,grapeseed,884.000,0.000,100.000,0.000,0.000,0.000
295,genuine,98.000,14.420,1.500,0.000,1.450,2.135
296,salvadoran,382.000,21.500,17.285,29.500,1.200,7.090
297,chickett,200.000,0.100,9.700,0.000,1.200,23.600
298,soaked,162.286,0.000,8.637,2559.000,0.000,20.789
299,bengal,165.571,4.414,2.909,0.000,6.986,8.874
300,hearty,162.333,27.290,2.062,3.000,4.533,6.795
301,luxury,141.000,0.000,4.800,36.000,0.000,18.400
302,season,296.000,9.200,12.200,16.000,1.500,5.500
303,thoma,232.000,0.000,1.800,0.000,0.000,8.000
304,consomme,11.500,0.810,0.080,0.000,0.000,2.210
305,gravy,140.349,24.730,4.078,6.349,6.000,4.790
306,soyburger,177.000,1.070,6.300,5.000,4.900,15.700
307,scoobydoo,56.000,0.790,1.590,4.000,0.800,2.380
308,grenadine,268.000,46.550,0.000,0.000,0.000,0.000
309,frichik,160.000,0.100,10.300,1.000,1.500,13.400
310,rambutan,82.000,0.000,0.210,0.000,0.900,0.650
311,mashed,127.789,1.877,2.407,14.000,2.637,3.111
312,regular,296.044,80.540,80.710,76.000,11.900,36.160
313,zucarita,387.000,38.100,3.500,0.000,1.400,5.100
314,gardenburger,145.333,1.733,3.900,9.000,5.700,7.400
315,wholegrain,339.273,6.940,3.493,0.000,8.918,10.105
316,brownsugarcinnamon,370.000,27.240,7.980,0.000,2.300,4.060
317,waterchestnut,73.500,3.630,0.080,0.000,2.750,1.140
318,zealand,218.746,0.290,78.300,2559.000,1.500,21.760
319,pressurized,260.500,12.035,22.260,38.000,0.000,2.090
320,mixx,484.000,1.000,21.300,8.000,2.500,10.800
321,duckling,184.250,0.000,7.678,124.500,0.000,26.988
322,dog,186.286,4.977,28.700,74.000,1.600,10.924
323,leavening,127.000,0.000,7.610,0.000,26.900,40.440
324,nettle,42.000,0.250,0.110,0.000,6.900,2.710
325,yane,56.000,0.000,0.400,0.000,0.000,13.000
326,pineapple,70.439,9.179,12.100,22.000,0.902,3.500
327,scotch,41.000,0.000,0.890,4.000,0.975,2.662
328,incomplete,293.000,7.210,4.020,71.000,3.720,10.000
329,tequila,78.500,3.125,0.050,0.000,0.000,0.150
330,queen,102.500,0.000,1.345,63.000,0.000,21.110
331,bimbo,418.000,28.770,21.700,0.000,1.000,6.620
332,baja,252.000,3.300,6.900,12.000,5.200,10.600
333,fennel,188.000,1.965,7.535,0.000,21.450,8.520
334,corp,273.000,11.060,4.150,0.000,2.600,8.070
335,thinsliced,176.000,0.000,3.840,41.000,0.000,28.110
336,cruller,412.000,35.110,18.300,11.000,1.200,3.100
337,miniwheat,348.167,18.907,1.817,0.000,10.883,9.098
338,toast,361.667,30.300,10.373,116.000,3.933,8.338
339,geyser,0.000,0.000,0.000,0.000,0.000,0.000
340,chamomile,1.000,0.000,0.000,0.000,0.000,0.000
341,beechnut,576.000,0.000,50.000,0.000,0.000,6.200
342,koyadofu,476.000,0.000,30.340,0.000,4.200,47.940
343,menu,236.100,1.672,12.864,28.800,1.030,11.809
344,tamarind,148.000,25.750,0.360,0.000,2.800,1.445
345,tomatoseed,884.000,0.000,100.000,0.000,0.000,0.000
346,sugar,291.603,99.800,54.890,53.000,19.600,4.411
347,celery,392.000,35.900,25.270,13.000,27.800,18.070
348,bush,55.000,0.000,0.200,0.000,6.700,1.100
349,knuckle,155.615,0.000,5.548,69.308,0.000,24.842
350,rich,171.542,81.820,7.195,48.875,4.000,13.032
351,chipotle,94.000,4.850,2.000,11.000,3.800,3.933
352,rice,241.447,51.060,100.000,66.000,21.000,5.110
353,plate,229.433,2.830,14.569,79.700,0.700,23.721
354,mixture,131.000,7.500,5.600,277.000,0.000,13.100
355,capegooseberry,53.000,0.000,0.700,0.000,0.000,1.900
356,bollilo,318.000,3.550,5.800,1.000,2.200,10.650
357,commodity,226.750,14.670,100.000,975.000,7.100,12.633
358,fluid,74.703,3.955,37.000,137.000,0.800,3.065
359,pocket,239.800,7.868,8.488,22.400,1.700,9.630
360,watermelon,293.500,3.100,23.760,0.000,0.200,14.470
361,popable,462.000,59.923,19.163,10.333,1.533,4.347
362,wedding,504.000,37.900,24.100,4.400,1.400,2.966
363,frying,886.000,0.000,100.000,100.000,0.000,0.000
364,relish,132.000,29.130,0.393,0.000,1.450,0.700
365,dream,499.000,34.500,28.000,2.000,3.300,3.500
366,prune,133.615,39.000,0.228,0.000,2.331,1.211
367,sourcreamandonionflavor,531.000,0.000,33.900,7.000,5.200,8.100
368,bar,404.200,36.444,19.544,7.000,1.960,5.398
369,bas,117.000,0.000,3.050,72.000,0.000,20.927
370,blanched,420.333,2.790,37.927,0.000,9.267,12.603
371,chocolateflavored,259.250,29.282,29.730,0.000,2.450,2.348
372,pretzel,424.444,50.000,11.817,13.000,2.794,8.213
373,griller,180.333,0.633,7.583,3.000,4.183,19.600
374,bay,212.000,0.000,4.600,20.500,13.150,14.075
375,emu,133.000,0.000,2.401,83.250,0.000,26.107
376,bag,1.000,0.000,0.000,0.000,0.000,0.207
377,grilled,207.343,12.600,10.635,77.904,3.700,25.719
378,steak,193.304,9.820,10.119,73.797,3.500,24.128
379,steam,104.000,1.900,3.133,12.000,2.167,5.933
380,unenriched,318.931,2.760,35.760,117.000,2.029,7.332
381,pupusa,239.000,1.317,10.897,20.333,3.767,9.607
382,rockstar,31.000,6.130,0.150,0.000,0.000,0.295
383,nut,470.063,71.000,32.856,64.000,5.714,10.397
384,lemonade,233.125,33.648,24.400,7.000,0.387,4.500
385,tritip,180.167,0.000,8.748,70.917,0.000,24.002
386,sage,352.500,0.855,8.925,0.000,22.850,11.965
387,sturgeon,137.667,0.000,4.540,72.333,0.000,22.680
