munch	set(['28034', '19295'])
plate	set(['13977', '13979', '23222', '23223', '23221', '23226', '23224', '23225', '17273', '23172', '23173', '23170', '23171', '36609', '23217', '23216', '23215', '23214', '23219', '23218', '23541', '23540', '23163', '23162', '23165', '23164', '23167', '23166', '23169', '23168'])
coffee	set(['14222', '14223', '14224', '19268', '14209', '14202', '14203', '14201', '04661', '01050', '43401', '14415', '14414', '14534', '14204', '14237', '14236', '19279', '14219', '14218', '16249', '14210', '14215', '14214', '14421'])
anchovy	set(['15002', '15001'])
cherry	set(['14030', '09001', '03268', '21069', '09044', '08693', '09098', '43098', '16256', '03225', '03224', '19873', '03222', '19092', '18938', '18939', '18444', '09076', '09075', '09074', '09073', '09072', '09071', '09070', '09367', '09106', '09105', '09104', '09103', '09102', '09101', '09100', '18481', '09328', '03145', '03144', '18309', '18308', '09099', '18095', '18362', '09097', '43535', '09096', '19067', '09362', '19314', '09063', '09064', '09065', '09066', '09067', '09068', '14078'])
icing	set(['28297', '28294', '28293', '28291', '18635', '04664'])
kale	set(['11792', '11791', '11790', '11623', '11622', '11233', '11234', '11235', '11236'])
ladle	set([])
citrus	set([])
flour	set(['19814', '19812', '19813', '20070', '18958', '12170', '18364', '12060', '05093', '05068', '16099', '16417', '16416', '05086', '16418', '18970', '05017', '20629', '20628', '20624', '20623', '18616', '12008', '12007', '20024', '05003', '20581', '05008', '16157', '19857', '20630', '05102', '20481', '18450', '20634', '20635', '20636', '21120', '20132', '20131', '20130', '20082', '12033', '12032', '16055', '05036', '05031', '05059', '20086', '16100', '20083', '05050', '20081', '20080', '20649', '20648', '20645', '18945', '20647', '20646', '20641', '20640', '16415', '20324', '20063', '20090', '20011', '20016', '20017', '20018', '20019', '20650', '18930', '20316', '20315', '08580', '18443', '20084', '20381', '18301', '05077', '20129', '12041', '19804', '20317', '07076', '18931', '20065', '20064', '11413', '20061', '18947', '16115', '16116', '16117', '20003', '16118'])
lard	set(['04549', '35185', '04606', '04544', '35142', '04002'])
picnic	set(['10075', '10074', '10169', '10168', '10167', '10166', '10076', '10079', '10078', '10077', '07062'])
brownie	set(['21027', '08667', '18196', '18614', '28298', '28117', '18632', '18152', '18151', '18154'])
fat	set([])
appetizer	set([])
spareribs	set([])
collardgreens	set([])
spoon	set([])
suet	set(['13335'])
lunchmeat	set([])
pop	set(['18497', '18481', '18482', '18494', '18479', '18478', '18486', '18487', '18488', '18489', '18477', '18490', '19283', '18476', '19891', '19892', '08068', '19873', '43514', '19871'])
ham	set(['21008', '03289', '21004', '10011', '07211', '07213', '07212', '07215', '07214', '07217', '07216', '10185', '10184', '10899', '06190', '10183', '10182', '10893', '10892', '10891', '10890', '06050', '06051', '10895', '10894', '10955', '10884', '10885', '10886', '10887', '10880', '10881', '10882', '10883', '10888', '10889', '10804', '10802', '10134', '07030', '06738', '10136', '10137', '06730', '06037', '10879', '10878', '10871', '10870', '10873', '10872', '10875', '10874', '10877', '10876', '07031', '08444', '07033', '07032', '21116', '21117', '06728', '03304', '10138', '06007', '06414', '21057', '06193', '43325', '43327', '43326', '10905', '10904', '10907', '10906', '10901', '10900', '10903', '10902', '10909', '10908', '10865', '10141', '10140', '10142', '07026', '07027', '08450', '10146', '10149', '07028', '07029', '10851', '10916', '10917', '10914', '10915', '10912', '10913', '10910', '10911', '42128', '10918', '10919', '10152', '10153', '10150', '06380', '07938', '03008', '03009', '10019', '10018', '10013', '10012', '22537', '10010', '10017', '10016', '10015', '10014', '22962', '10923', '10922', '10921', '10920', '10927', '10926', '10925', '10924', '10929', '10928', '07908', '10167', '10166', '10008', '10009', '07906', '07080', '07276', '07275', '10868', '10869', '10938', '10939', '10934', '10935', '10936', '10937', '10931', '10932', '10933', '03062', '06451', '03061', '05600', '06459', '21013', '07264', '21099', '10866', '10867', '06433'])
daikon	set([])
cook	set(['08575', '08574', '08577', '08576', '08573', '08578'])
crisp	set(['19186', '08025', '19913', '19914', '08589', '08649', '28184', '28185', '28183', '28017', '28149', '08509', '08073', '08216', '08305', '08017', '08245', '25025', '28020', '28263', '28159', '28158', '08202'])
cayennepepper	set([])
jicama	set(['11604', '11898', '11603'])
seaweed	set(['11667', '11666', '11663', '31019', '31020', '11669', '11442', '11446', '11445', '11444'])
minerals	set([])
bread	set(['35234', '08417', '18019', '18953', '18051', '18954', '18955', '18050', '18385', '18384', '18383', '18059', '18967', '18963', '35140', '18416', '18414', '18413', '18412', '04546', '18376', '18078', '18071', '21210', '21213', '18075', '21214', '18077', '18076', '18971', '18972', '18084', '18085', '18080', '18081', '18082', '08687', '18068', '18069', '18060', '18061', '18066', '18064', '18065', '18057', '18055', '18053', '11948', '35187', '21126', '21125', '21124', '11940', '18040', '18041', '18042', '18043', '18044', '18045', '18047', '18048', '18049', '20083', '20129', '18079', '28306', '28307', '28285', '28287', '28286', '28288', '18035', '18037', '18036', '18030', '18033', '18032', '18039', '18038', '35240', '18070', '36416', '36415', '18027', '18024', '18025', '18022', '18023', '18073', '18021', '18028', '18029', '18432'])
jackfruit	set(['09420', '09144'])
waterchestnut	set(['11590', '11588'])
cucumber	set(['11948', '11946', '11947', '11940', '11941', '11205', '11206', '11937', '35070'])
clam	set(['21043', '15160', '06529', '15162', '27042', '27043', '06545', '14187', '06429', '06428', '27009', '06030', '06230', '06594', '15157', '15159', '15158', '06430', '06431', '06027', '06028', '06367', '06364', '06250'])
grapefruit	set(['09118', '09404', '09119', '14334', '09121', '09120', '09123', '09125', '09124', '09126', '09111', '09112', '09113', '09114', '09128', '09116', '09117'])
nectar	set(['09403', '09407', '09229', '09437', '09436', '09435', '09434', '09262', '09408', '09251', '09036'])
thyme	set(['02042', '02049'])
spatula	set([])
asparagus	set([])
roll	set(['16527', '16526', '18368', '19269', '28288', '23406', '32012', '23404', '21388', '18358', '07088', '18355', '18356', '18357', '18350', '18351', '18352', '18353', '19014', '18348', '19076', '28167', '22953', '43441', '18641', '22955', '22954', '10170', '18635', '07935', '36601', '16532', '16533', '07032', '16536', '25003', '07017', '10171', '19273', '18342', '18347', '18346', '18345', '18344', '23453', '23452', '23455', '23454', '19064', '23407', '18349', '07082', '28007', '23405', '18396'])
mustard	set(['11274', '11799', '11272', '43144', '11801', '11800', '11271', '04583', '04706', '02046', '11270', '04703', '11275', '11273', '11983', '21316', '04686', '02024', '21313'])
nutritious	set([])
pretzel	set(['43109', '25060', '19813', '28115', '19049', '19048', '19050', '19812', '25024', '03215', '19047', '28144', '19814', '28140', '28141', '28139', '19917', '28123'])
hotsauce	set([])
onion	set(['06446', '18603', '06094', '11806', '11805', '11295', '06354', '11326', '11327', '11324', '11291', '11983', '36022', '11289', '02026', '28188', '21509', '18406', '18408', '11288', '06438', '18400', '11283', '11282', '11285', '11284', '11287', '18407', '06123', '21130', '11807', '36026', '06340', '06995', '11553', '11557', '25022', '18001', '18002', '06494', '06222', '11292', '06046', '06045', '11818', '06246', '06998', '28135', '36031', '11293', '11290', '11286', '11296', '11294', '36036'])
jalapeno	set(['11979', '16204', '31014', '11632'])
knife	set([])
tamale	set(['35237', '36411', '35147', '36056', '36412'])
sorghum	set(['20650', '20067', '20648', '19355'])
nutmeg	set(['02025', '04572'])
mints	set([])
roast	set(['23200', '23201', '23202', '22950', '23612', '17155', '10065', '10069', '23514', '23515', '23590', '23591', '23619', '13402', '23594', '10210', '10213', '23597', '23598', '13408', '13937', '23368', '13876', '23614', '13877', '23159', '13419', '13925', '23321', '13786', '13821', '23307', '23328', '23114', '13488', '23111', '23112', '23113', '23295', '23294', '23292', '13487', '13486', '23604', '23513', '23602', '23603', '10056', '10055', '10052', '10051', '23275', '23277', '23276', '23378', '23379', '13928', '13415', '13813', '23375', '23376', '23377', '13922', '10194', '23348', '10963', '10962', '10214', '10217', '10198', '10199', '23288', '23289', '23322', '23618', '13405', '13399', '23287', '10048', '07043', '10043', '10044', '10047', '23309', '23308', '23264', '23265', '23262', '23263', '23260', '23261', '23367', '21210', '13425', '13424', '13423', '13422', '13421', '13420', '23161', '23160', '10032', '23616', '07912', '13384', '13382', '13383', '13380', '13381', '17000', '23153', '10035', '23253', '23252', '23318', '23319', '10039', '23255', '23254', '23312', '23313', '23310', '23311', '23316', '23317', '23314', '23315', '23099', '23649', '10989', '23329', '13985', '23251', '10983', '10982', '23380', '13957', '23250', '23147', '23146', '13878', '13879', '13973', '13972', '23323', '13974', '23552', '23320', '13870', '16528', '21125', '13873', '23653', '23652', '23651', '23650', '13956', '10224', '10028', '10225', '23082', '23083', '13285', '23081', '23240', '23259', '13820', '13823', '23193', '23115', '23190', '10990', '17346', '23620', '17347', '23150', '23151', '23152', '17334', '17333', '13955', '23330', '23331', '23332', '06387', '10031', '35178', '23336', '23337', '23338', '23528', '35177', '23132', '23133', '13888', '23131', '13647', '13809', '13293', '13294', '23646', '13649', '13648', '13884', '13886', '13881', '13880', '13882', '23154', '23192', '13919', '13417', '23155', '23304', '23000', '23291', '23290', '13791', '23648', '13418', '23531', '23362', '06441', '13958', '23103', '23102', '23101', '13954', '13414', '23104', '23345', '13816', '23347', '23346', '13818', '13426', '23635', '13817', '23637', '13815', '23631', '23189', '23633', '13811', '23361', '23302', '13819', '10059', '13812', '23349', '10087', '10083', '13810', '23303', '05296', '05295', '23360', '23366', '23213', '13940', '13788', '23327', '23357', '23198', '23199', '23350', '13378', '13377', '13822', '13375', '23647', '13373', '23191', '23358', '23359', '23239', '23305', '13411', '13416', '23194', '13814', '10203'])
apricot	set(['19719', '09028', '09029', '09024', '09025', '09026', '09027', '03175', '09022', '09023', '14327', '03142', '03118', '03143', '09106', '09105', '09104', '09103', '09102', '09033', '09032', '09031', '09030', '09036', '09035', '09034', '09021', '03128', '04530', '09403', '09357'])
broil	set([])
stringy	set([])
yolk	set(['03197', '19333', '03198', '01160', '03201', '01125', '01137', '01127', '01126'])
zucchini	set(['11953', '11861', '11477', '11862', '11481', '11480', '11478', '11479'])
dip	set(['27053', '27052', '27054'])
digestivesystem	set([])
tomatillo	set(['11954'])
fritter	set([])
summersquash	set([])
chew	set(['19309', '19315', '19156', '19313', '19068'])
