munch	set(['28034', '19295'])
chocolate	set(['18310', '18312', '19265', '19268', '18097', '18096', '18095', '42183', '18158', '18159', '14315', '18157', '28055', '28056', '18951', '19010', '18198', '28052', '28053', '28184', '28058', '16227', '18422', '28104', '28102', '28103', '08177', '16166', '01263', '19157', '19404', '43078', '19701', '18167', '18166', '18482', '18164', '18163', '19279', '18161', '18160', '28195', '19270', '18168', '43260', '19372', '42131', '14063', '08658', '19062', '25004', '28027', '14181', '28028', '08652', '14182', '44259', '18251', '19301', '19896', '28130', '19149', '19146', '28221', '28220', '19143', '19140', '19141', '28296', '28294', '01187', '19878', '19879', '19252', '18378', '14054', '01240', '19017', '01243', '19077', '19895', '42186', '42187', '19078', '42185', '14197', '14195', '19897', '16237', '19213', '28125', '28126', '43506', '18612', '25020', '18993', '14043', '19190', '19440', '25045', '25009', '18105', '28057', '18101', '43205', '28299', '16240', '19114', '19164', '25021', '19026', '28004', '28000', '28087', '01237', '01236', '18165', '42139', '42227', '42272', '44061', '08631', '18608', '19189', '19348', '19249', '19345', '18199', '19182', '19393', '19188', '19081', '19184', '19185', '18112', '16231', '19087', '19917', '19916', '19292', '19110', '01105', '01104', '01103', '01102', '28013', '01222', '16168', '43031', '19899', '21030', '19409', '19326', '19093', '44260', '18127', '19822', '19902', '19903', '14316', '14317', '42074', '19904', '19905', '01110', '19100', '19101', '14422', '14423', '19105', '18640', '08594', '08593', '28261', '28260', '19226', '08513', '08512', '19221', '19220', '19024', '19027', '19152', '28061', '28060', '28062', '19083', '19328', '19080', '19241', '19240', '19405', '28289', '19327', '25018', '25010', '25017', '19894', '25006', '43541', '28279', '28165', '19139', '08669', '28272', '19134', '19132', '28277', '42148', '19235', '19236', '18630', '28076', '44258', '18522', '01202', '19256', '28297', '19254', '19255', '25060', '28293', '19379', '19886', '19258', '19884', '14080', '28217', '14083', '19893', '28078', '18140', '19183', '08707', '08672', '21412', '18943', '28040', '19120', '19123', '19124', '19126', '19127', '28114', '28111', '28113', '14318', '28206', '28047', '01235'])
ravioli	set(['22976', '03046', '36053', '22900', '22899', '32022', '36055', '36054', '22939', '22929'])
orange	set(['03178', '09219', '09218', '14341', '09213', '09211', '09210', '03174', '09216', '03176', '03177', '14327', '14323', '14450', '14615', '19873', '03226', '14150', '14436', '03711', '42270', '09205', '09206', '09207', '09200', '09201', '09202', '09203', '09209', '03172', '36629', '03173', '19097', '09220', '03175', '03211', '09215', '09383', '43346', '14064', '09214', '14426', '14427', '15073', '28170', '11695', '15232', '19303', '09452', '09506'])
gingerale	set([])
tofu	set(['16214', '16213', '16212', '16211', '16210', '16132', '16275', '16432', '16277', '16276', '16271', '16273', '16272', '16279', '16278', '16161', '16160', '16163', '16162', '16165', '16164', '16281', '16129', '16128', '16127', '16126', '16428', '16429', '16426', '16427', '16274', '43476', '42178', '16159'])
pecan	set(['08554', '12643', '18193', '08702', '28159', '08646', '28128', '28129', '28125', '28127', '19880', '12644', '08602', '18325', '18324', '28028', '42265', '08655', '42261', '12143', '12142', '12144', '28221', '28226'])
ginger	set(['18562', '11216', '14136', '02021'])
cereal	set(['08249', '08243', '08240', '08247', '08245', '08244', '08649', '08648', '08647', '08646', '08645', '08643', '08642', '08641', '08640', '08159', '08018', '08019', '08544', '08017', '08014', '08015', '08012', '08013', '08542', '08543', '08625', '08493', '08491', '08494', '08495', '43570', '08598', '08160', '08161', '08164', '08165', '08047', '08168', '08169', '08388', '08389', '08386', '08387', '08384', '08383', '08380', '03996', '43495', '08290', '08113', '08116', '08578', '08614', '08615', '08616', '08617', '08610', '08611', '08599', '08613', '08597', '08596', '08595', '08594', '08593', '08592', '08591', '08590', '08206', '08204', '08202', '08200', '08575', '08574', '08577', '08576', '08478', '08573', '08476', '08579', '08471', '08189', '08180', '08182', '08183', '43544', '08500', '08501', '08050', '08504', '08057', '08506', '08507', '08508', '08509', '08058', '08059', '43393', '08010', '08011', '42265', '42261', '08376', '08370', '42285', '42284', '03205', '03201', '03197', '03965', '03195', '03192', '03193', '03190', '03191', '03198', '03199', '08696', '08505', '08054', '08122', '08691', '08692', '08693', '08658', '08659', '08651', '08652', '08653', '08654', '08655', '08656', '08657', '08539', '08538', '08029', '08028', '08531', '08020', '08025', '03704', '08629', '08628', '08252', '08157', '08156', '08627', '08621', '08259', '08444', '08449', '08435', '08436', '42236', '42237', '08231', '08671', '43245', '08268', '08267', '08261', '08263', '08262', '08588', '08589', '08663', '08662', '08665', '08667', '08666', '08669', '08668', '08582', '08583', '08584', '08586', '08587', '08218', '08210', '08211', '08214', '08215', '08216', '08409', '08567', '08562', '08560', '08561', '08402', '08568', '08569', '03690', '03693', '03694', '03696', '08104', '08105', '08106', '08107', '08100', '08101', '08102', '08103', '08067', '08066', '08065', '08064', '08061', '08060', '08314', '08316', '08319', '08318', '08085', '08084', '08087', '08081', '08083', '08082', '08089', '08363', '08365', '08366', '42297', '14237', '08682', '08145', '43218', '08138', '08702', '08703', '08700', '08701', '08706', '08707', '08704', '08705', '08045', '08683', '14236', '08681', '08680', '08687', '08686', '08685', '08684', '08689', '08688', '03194', '08133', '08130', '08132', '08148', '08220', '08225', '08639', '08637', '08142', '08635', '08632', '08633', '08146', '08147', '08452', '08453', '08450', '08451', '08351', '08353', '08352', '08355', '08354', '08459', '08034', '08035', '08037', '08030', '03711', '08032', '08038', '08039', '42240', '14421', '08221', '19134', '08661', '08660', '08277', '08274', '08272', '08273', '08270', '08271', '08228', '08634', '08672', '08673', '08670', '08143', '08676', '08677', '08674', '08675', '08144', '08678', '08679', '43241', '08631', '08553', '08550', '08554', '08005', '08410', '08411', '08001', '08417', '08003', '08002', '03689', '03682', '03681', '03686', '03685', '08481', '08484', '08487', '08489', '08488', '08078', '08173', '08172', '08177', '08071', '08073', '08074', '08077', '08305', '08309', '08096', '08094', '08092', '08093', '08090', '08091', '08390', '08393', '08288', '08286', '08284', '08698', '08699', '08128', '08129', '08694', '08695', '08124', '08697', '08690', '08123', '08120', '08121', '08023', '08609', '08608', '08236', '08603', '08602', '08239', '08605', '08031', '08463', '08462', '08348', '08349', '03712', '08469', '08346', '08347', '08192', '08191', '08537', '08194', '08513', '08512', '08511', '08046', '08049', '08048', '08069', '08068', '03211', '03210', '03212', '08549', '03185', '03184', '03187', '03186', '03181', '03189', '03188', '03956'])
hazelnut	set(['35233', '08689', '19125', '16262', '12121', '12120', '12122', '04532'])
loquat	set(['09174'])
soysauce	set([])
chili	set(['16059', '21042', '11820', '06426', '21084', '21068', '21067', '11980', '11329', '21062', '22911', '21065', '02009', '06961', '06962', '43112', '11819', '06454', '16510', '21119', '21134', '06437', '16597', '22904', '21073', '21072', '11670', '22969', '02076', '36019', '06026', '06398', '06972', '36037'])
flan	set(['19094', '19231', '19232', '19187'])
platter	set(['36606', '36023', '36604', '36605', '36024'])
cottagecheese	set([])
casserole	set([])
bellpepper	set([])
pomegranate	set(['14031', '09286', '09442'])
mincemeat	set([])
cilantro	set(['06598', '11165'])
kumquat	set(['09149'])
refreshments	set([])
edible	set(['43282', '43283'])
salad	set(['04018', '21379', '21084', '04643', '07067', '04641', '04640', '21376', '21377', '04014', '04644', '04367', '04027', '04026', '04025', '04023', '04022', '04021', '04020', '04029', '04028', '04704', '04705', '04703', '04144', '04145', '04146', '04141', '04142', '04143', '21378', '42193', '42192', '21083', '04034', '04543', '43215', '04013', '04133', '04135', '04011', '04016', '04017', '04058', '04015', '07031', '04636', '04635', '04638', '04639', '09325', '04044', '04539', '04042', '21053', '21052', '04120', '21057', '21056', '21055', '21054', '43329', '42137', '04114', '15128', '04686', '04685', '04053', '04689', '04688', '42230', '22971', '43331', '04518', '04511', '04510', '43020', '43021', '42153', '04502', '21270', '21140', '43017', '43016', '43015', '43019', '09106', '09105', '09104', '09103', '09102', '11414', '42171', '42140'])
oats	set([])
syrup	set(['09177', '09239', '09029', '09075', '09074', '09073', '09025', '09367', '09304', '09301', '09028', '14060', '14181', '14182', '09271', '09379', '09101', '09066', '09067', '09370', '42040', '09374', '19367', '19362', '19360', '19361', '09317', '09270', '09099', '09098', '09269', '09091', '09092', '09093', '09065', '19353', '19352', '19351', '19350', '19355', '09325', '09258', '09257', '09256', '09255', '19348', '19349', '19345', '09026', '09027', '19911', '19912', '14637', '19916', '19113', '09438', '09432', '09431', '09121', '09240', '09241', '09242', '09243', '09228', '09052', '09220', '09056', '09420', '90480', '09134', '43026', '09046', '09109', '09106', '09105', '09104', '11645', '11647', '09100', '19720', '09288', '09284', '09285', '21363', '21365', '09283', '19128', '19129', '09352', '09353', '09351', '19436', '09357', '09448', '09440'])
vanilla	set(['14347', '19260', '19710', '28182', '42074', '28215', '28210', '19371', '01111', '08543', '16261', '19867', '28228', '19878', '19898', '19201', '19203', '19202', '19207', '19206', '16251', '16250', '03224', '03225', '19876', '19877', '19875', '01241', '01242', '28231', '28232', '28233', '28038', '19095', '18401', '03245', '19096', '19212', '19090', '16120', '19214', '16245', '01231', '28152', '08633', '18609', '16139', '18210', '18213', '18212', '16239', '21333', '01184', '03246', '16236', '19293', '28094', '01220', '01221', '21028', '18204', '18328', '16228', '16225', '19103', '19104', '01119', '28262', '08591', '19223', '19222', '19244', '14016', '19089', '19088', '28289', '16219', '21141', '28270', '28273', '19230', '19233', '08562', '19883', '19882', '19881', '19887', '19884', '02050', '02051', '02052', '18141', '08705', '28193', '01278', '01275'])
mustardgreens	set([])
cranberry	set(['08703', '14431', '14430', '16320', '08544', '43382', '16019', '16020', '14242', '14243', '35029', '14038', '35030', '16021', '08627', '09078', '09079', '09081'])
sourcream	set(['19046'])
bloodorange	set([])
icedtea	set([])
soup	set(['06617', '06019', '06230', '06026', '06018', '06037', '27042', '27043', '06355', '06354', '06353', '06351', '27045', '06502', '06503', '06117', '06429', '06428', '06359', '06358', '06195', '06194', '06214', '06215', '06058', '06190', '06193', '06192', '06054', '06055', '06056', '06050', '06051', '06052', '06053', '06590', '06218', '06592', '06595', '06594', '06988', '06596', '06986', '06987', '06984', '06439', '06982', '06983', '06980', '06981', '06740', '06742', '06967', '06749', '06340', '06437', '06434', '06343', '06432', '06433', '06430', '06349', '06438', '06101', '06546', '06028', '06182', '06183', '06180', '06011', '06023', '06062', '06350', '06012', '06027', '06048', '06583', '06580', '06013', '06586', '06587', '06584', '06585', '06588', '06589', '06543', '06731', '06730', '06489', '06022', '27044', '06736', '06483', '06482', '06481', '06480', '06487', '06956', '06403', '06393', '06401', '06400', '06406', '06405', '06404', '27060', '06409', '06408', '06463', '06334', '06337', '06336', '06333', '06032', '06030', '06339', '06338', '06034', '06035', '06426', '06548', '06549', '18228', '06216', '06084', '06726', '06725', '18425', '06728', '06729', '06128', '06082', '06081', '06080', '06007', '06006', '06004', '06418', '06419', '06001', '06256', '06414', '06415', '06416', '06417', '06410', '06411', '06412', '06413', '06249', '06248', '35024', '27019', '06315', '06241', '27014', '06243', '06314', '36413', '27013', '06246', '06252', '06559', '06547', '06253', '06003', '06989', '06002', '06251', '03070', '06159', '06158', '06504', '06094', '06733', '06010', '06468', '06399', '06398', '06014', '06015', '06016', '06017', '06461', '06392', '06391', '06462', '06465', '06396', '06395', '06466', '06312', '06311', '06242', '06316', '27008', '27009', '06505', '27007', '06440', '27002', '27000', '27001', '06494', '06528', '06497', '06170', '06009', '06738', '18426', '06008', '06498', '06739', '06384', '06387', '06146', '06147', '06145', '06955', '06149', '06388', '06389', '06734', '06472', '06047', '06470', '06471', '06476', '06475', '06064', '06067', '06061', '06309', '06063', '06402', '27032', '06217', '06068', '27035', '27034', '27015', '06974', '06423', '06970', '27017', '06978', '06447', '06446', '06444', '06443', '06442', '06441', '28282', '06177', '06366', '06174', '06544', '06172', '06449', '06448', '27021', '27022', '27023', '06380', '06558', '06212', '06076', '06075', '06072', '06070', '06071', '06373', '06383', '06375', '06374', '06377', '06025', '06341', '06964', '06965', '06966', '35073', '06968', '06969', '06342', '06213', '36414', '06451', '06453', '06454', '06456', '06457', '06459', '06038', '06024', '06039', '06219', '06210', '06043', '06042', '06041', '06040', '06201', '06046', '06045', '06044', '06363', '06049', '06361', '06209', '06208', '06541', '06211', '06991', '06990', '06992'])
slice	set(['43131'])
sour	set(['11946', '19369', '21315', '01180', '22995', '22958', '28188', '14530', '14531', '43019', '27001', '19315', '42116', '36621', '36622', '14027', '14024', '14025', '14028', '14029', '21135', '11941', '27050', '01055', '16595', '01056', '06285', '01058', '01193', '01194', '42157', '01074', '09362', '42158', '09063', '09064', '09065', '09066', '09067', '09068', '01178', '01179'])
lemonade	set(['14543', '14542', '14293', '14292', '14287', '28150', '14288', '28202'])
boil	set([])
sole	set(['15029', '15028'])
blackberry	set(['09042', '09043', '09048', '09046', '35015'])
pilaf	set(['22988', '32002', '32003'])
oleo	set([])
crackers	set([])
marionberry	set([])
pickle	set(['04030', '07224', '11958', '11948', '11946', '11947', '11944', '11945', '11940', '11941', '07058', '11937', '11983'])
biscuit	set(['21008', '21009', '16603', '21002', '21003', '21004', '21005', '21006', '21007', '18013', '18012', '18011', '18010', '21361', '18016', '18015', '18014', '18150', '21142', '18634', '18633', '08505', '18996', '18995', '18615', '03216', '18009', '16598', '21360', '21362', '21415', '03997', '21419', '18629', '18017', '08147'])
prune	set(['03178', '03136', '03137', '03171', '09423', '03139', '09293', '09292', '09291', '09290', '09288', '09289', '09294'])
kettlecorn	set([])
tart	set(['18497', '18481', '18482', '18494', '18479', '18478', '18486', '18487', '18488', '18489', '18477', '18490', '18459', '09044', '09064', '18476'])
mandarinorange	set([])
coconut	set(['18313', '18314', '18316', '19322', '19323', '06618', '28289', '19324', '19325', '14090', '04661', '04646', '28054', '12114', '12115', '12116', '12117', '12118', '12119', '42272', '12176', '12177', '28218', '28079', '18524', '28212', '12179', '12110', '19219', '19191', '06624', '04659', '04551', '04047', '18102', '12104', '22985', '28197', '28309', '12109', '12108', '28132', '43100'])
oatmeal	set(['08249', '08691', '08569', '08694', '18179', '08410', '08411', '08690', '08417', '08692', '08693', '18377', '03689', '25039', '28276', '08200', '18039', '28278', '18051', '28057', '03192', '03193', '03190', '03191', '08124', '08642', '08641', '08640', '28091', '18200', '08252', '28219', '18527', '18178', '08214', '08215', '28109', '18040', '08687', '08686', '08568', '18184', '08689', '08688', '08130', '18183', '18180', '03205', '28216', '08245', '03690', '03693', '18182', '28041', '18533', '28300', '28269', '28072', '28264', '03189', '18538', '18513', '28048', '08225', '08436', '08639', '28151', '08228', '28207', '28040', '08632', '08202', '28203', '18537'])
hamburger	set(['21107', '18641', '21109', '21108', '21389', '21239', '21250', '18350', '18351', '18352', '21112', '21113', '21110', '21111', '11958', '21114', '21115', '21228', '21242', '21240', '21241', '21202', '21390', '21393'])
whey	set(['01112', '01113', '01114', '01115', '14033', '14066', '14058', '43369'])
coleslaw	set(['43016', '42230', '21416', '21420', '21127', '36028', '36021', '36035', '36025'])
mayonnaise	set(['21356', '21230', '21389', '43598', '04018', '04013', '04641', '04011', '43355', '04689', '21462', '21461', '04027', '04026', '04025', '04029', '04028', '04145', '04708', '43329', '42178', '21397', '21390', '42138', '21399'])
pie	set(['18310', '18312', '18313', '18314', '18316', '18317', '18319', '18090', '43098', '22528', '22529', '18332', '18333', '18336', '18334', '18335', '19312', '18444', '18445', '18446', '19314', '22906', '44158', '18401', '18402', '11426', '18306', '18305', '18304', '18303', '18302', '18301', '18443', '18309', '18308', '21324', '02035', '28171', '18321', '18320', '18323', '18322', '18325', '18324', '18327', '18326', '18943', '18942', '18945', '18944', '18947', '18946', '18948', '18399', '28111', '28266', '28112', '18328'])
slaw	set([])
jug	set([])
sushi	set([])
	set([])
kidneybeans	set([])
junkfood	set([])
jelly	set(['19300', '44110', '19106', '18256'])
honey	set(['18173', '08243', '18974', '08476', '03704', '08085', '04686', '08081', '07088', '08045', '21316', '07215', '07258', '08655', '08481', '28019', '08662', '08598', '03193', '08645', '28274', '08643', '08218', '08057', '08054', '08389', '07938', '08071', '08675', '28070', '08549', '08560', '08684', '25008', '19296', '08309', '04706', '07209', '04703', '08211', '08665', '03693', '03696', '08614', '42240', '08670', '08491', '08610', '08674', '28302', '08613', '43570', '08651', '18964', '08654', '08676', '08615', '18255', '08561', '18436', '08387', '12206', '08633', '28157'])
juice	set(['19263', '09383', '14341', '10883', '09154', '11540', '07212', '14262', '14263', '43404', '09213', '31018', '09097', '10893', '10892', '10891', '10890', '43408', '18423', '09206', '09207', '09072', '14038', '09209', '09017', '09016', '14427', '09018', '10884', '31010', '10882', '11578', '43346', '14064', '31011', '10873', '14187', '09273', '09275', '09274', '03268', '42119', '09002', '18175', '14114', '14119', '14327', '14619', '11886', '11885', '42270', '14615', '14614', '14617', '14616', '14611', '14610', '14613', '14612', '09411', '09410', '10924', '09268', '10875', '10874', '10876', '31008', '14042', '31005', '31007', '31006', '31001', '14238', '14334', '14608', '14609', '14607', '31002', '03169', '09400', '09404', '09409', '09024', '43450', '14282', '10904', '10901', '10900', '10903', '10902', '09254', '14651', '09238', '19856', '31016', '31017', '31012', '31013', '09233', '09232', '09135', '14633', '14636', '14635', '03171', '14431', '14430', '09439', '09120', '09123', '11585', '09125', '09124', '09126', '09128', '44074', '03172', '03173', '14620', '14621', '14622', '14623', '03167', '03174', '09223', '09221', '09294', '09215', '09214', '14426', '43535', '42120', '11531', '10923', '43382', '09130', '09508', '10927', '10926', '10925', '14405', '10928', '09507', '09506', '14618', '03178', '03179', '09219', '03265', '03267', '03170', '09043', '09211', '09210', '09217', '03175', '03176', '03177', '03269', '14242', '14243', '14240', '14241', '03001', '09514', '09515', '09516', '09517', '09510', '09511', '09512', '09513', '03168', '03166', '09103', '09452', '14646', '14647', '14645', '14648', '09153', '09161', '09160', '09152', '43365', '09282', '42267', '42266', '14406', '09354', '09444', '09442', '09443', '11655'])
omelet	set(['01130'])
sorrel	set([])
batter	set(['05058', '05049', '05101', '05076', '05002', '05067', '05007', '05016', '05035', '05092', '05085', '05030'])
pastry	set(['18497', '18494', '18479', '18478', '18490', '28182', '18477', '18476', '18211', '28193', '04665', '28192', '18337', '28163', '28164', '28165', '28167', '28168', '28169', '18959', '18938', '18939', '28180', '28181', '18246', '18247', '18244', '18245', '18481', '18482', '18486', '18487', '18488', '18489', '18361', '18362', '28177', '28176', '28175', '28174', '28173', '28172', '28171', '28170', '28179', '28178', '18431', '18430', '18433', '18435', '04655'])
cornflakes	set([])
hotdog	set(['21118', '21119', '21120', '18350', '18351', '18352'])
lemon	set(['18175', '07943', '19204', '14137', '36617', '01184', '10854', '28037', '18423', '14475', '18433', '14476', '18445', '18246', '18529', '01221', '28214', '19708', '19331', '11972', '19333', '19332', '22947', '18321', '18320', '19330', '09154', '09156', '09150', '09152', '09153', '28227'])
dailybread	set([])
protein	set(['14033', '14035', '14654', '20630', '20634', '08471', '20636', '16415', '14066', '16417', '16416', '14067', '03682', '16419', '16418', '25015', '01067', '20635', '16420', '01084', '28016', '16421', '01087', '01224', '01223', '01220', '01081', '01121', '01120', '01122', '18383', '03711', '14044', '18043', '20629', '20628', '16125', '16121', '20624', '20623', '16122', '03211', '14068', '20645', '16425', '20646', '20641', '20640', '16422', '16423', '01116', '01117', '01118', '01119', '14059', '14055', '14058', '01217', '01216'])
peapod	set([])
mint	set(['19879', '28035', '18991', '28093', '28078', '28097', '28223', '28099', '28120', '19153'])
durian	set(['09422'])
cater	set([])
smoked	set(['13357', '07943', '35166', '07900', '35067', '35066', '07239', '42262', '07273', '07272', '07271', '07275', '07274', '15106', '15131', '07217', '07216', '07934', '19407', '43390', '43391', '16533', '05600', '15179', '35190', '07916', '07917', '07938', '15075', '07268', '43367', '43366', '07075', '07074', '07077', '07076', '07261', '07262', '07054', '42241', '28240', '15077', '13358', '07257', '15035', '07927', '07924', '07922', '07920', '15014', '05282', '07929', '07928'])
lamb	set(['17040', '17009', '17405', '17404', '17001', '17003', '17002', '17005', '17407', '17007', '17006', '17258', '17043', '17406', '17259', '17401', '17400', '17367', '17292', '17403', '17402', '17069', '17211', '17042', '17391', '17362', '17399', '17319', '17018', '17019', '17409', '17408', '17318', '17012', '17013', '17010', '17011', '17016', '17017', '17014', '17015', '17045', '17390', '17044', '17363', '17047', '17081', '17080', '17083', '17082', '17085', '17084', '17087', '17086', '17247', '17246', '17245', '17244', '17243', '17369', '17241', '17240', '17027', '17026', '17025', '17024', '17229', '17228', '17021', '17020', '17225', '17224', '17227', '17226', '17221', '17220', '17029', '17028', '17388', '17389', '17418', '17419', '17382', '17383', '17380', '17381', '17386', '03011', '17384', '17385', '17364', '17392', '17288', '17238', '17365', '17049', '17239', '17366', '17004', '17311', '17310', '17313', '17312', '17315', '17314', '17317', '17316', '17250', '17251', '17252', '17253', '17254', '17255', '17256', '17257', '17030', '17031', '17032', '17033', '17034', '17249', '17036', '17037', '17038', '17237', '17234', '17248', '17232', '17233', '17230', '17231', '17293', '17423', '17422', '17421', '17420', '17394', '17413', '17008', '17368', '17242', '17302', '17360', '17300', '17301', '17361', '17307', '17304', '17305', '17308', '17309', '17397', '17209', '17201', '17200', '17236', '17206', '17205', '17283', '17282', '17281', '17280', '17287', '17286', '17285', '17284', '17023', '17289', '03010', '17046', '17048', '17022', '17035', '17299', '17306', '17396', '17359', '17358', '17355', '17354', '17357', '17356', '17353', '17056', '17057', '17054', '17055', '17052', '17053', '17050', '17051', '17294', '17295', '17296', '17297', '17290', '17291', '17058', '17059', '17235', '17062', '17328', '17329', '17320', '17321', '17322', '17323', '17324', '17325', '17326', '17327', '17395', '17064', '17063', '17416', '17061', '17060', '17067', '17066', '17065', '17417', '17039', '17068', '17414', '17415', '17303', '17412', '17387', '17214', '17215', '17210', '17410', '17199', '17196', '17195', '17411', '17192', '17191', '17379', '17378', '03066', '03067', '17373', '17372', '17371', '17370', '17377', '17376', '17375', '17374', '17393', '17078', '17079', '17074', '17075', '17076', '17077', '17070', '17071', '17072', '17073', '17041', '17398', '11794', '17261', '17260', '17263', '17262', '17265', '17264', '17298', '17185', '17186', '17187'])
succotash	set(['11502', '11501', '11872', '11499', '11871', '11495', '11496', '11497'])
pitcher	set([])
noodles	set([])
sprinkles	set([])
provisions	set([])
liver	set(['35068', '07040', '07041', '17203', '17202', '17201', '17200', '17204', '13325', '13326', '13327', '23424', '23425', '35083', '04589', '35060', '35013', '10110', '35072', '05150', '05178', '10111', '35047', '05177', '05661', '35226', '17199', '07014', '35051', '07208', '07053', '35023', '07207', '07055', '07054', '35088', '17368', '05028', '05282', '05143', '17369', '05027'])
rhubarb	set(['35063', '09307', '09309', '09310'])
ribs	set([])
subsandwich	set([])
rye	set(['20065', '20064', '18053', '20063', '20062', '18216', '18225', '18226', '18227', '18346', '18060', '18061', '19416', '18221'])
bowl	set(['22958', '27018', '27008', '22969', '06241', '27007', '27017', '06242', '06245', '06244', '06252', '06497', '06502', '06503', '06251', '28155', '06250', '06504', '06505'])
peanutbutter	set([])
freezer	set([])
bagel	set(['21411', '21410', '18968', '18003', '25046', '18408', '18406', '18005', '18006', '18007', '18001', '18002', '18407'])
dandeliongreens	set([])
hot	set(['31017', '11944', '11820', '21336', '06398', '27001', '16593', '08183', '01105', '11329', '08489', '08488', '14197', '14195', '06961', '06962', '21313', '11819', '06168', '21033', '08562', '08561', '31013', '07246', '07245', '22535', '22537', '07915', '11670', '28243', '28178', '21510', '22961', '21335', '11962', '08144', '08145', '07929'])
venison	set(['35080'])
macaroni	set(['20099', '07940', '20302', '32014', '20106', '20400', '32016', '22919', '20107', '22402', '22959', '03090', '36009', '22970', '22247', '36040', '20499', '36609', '03048', '03044', '03045', '36003', '32008', '20108', '32004', '32005', '20105', '20102', '20100', '20101', '36017', '03089', '20301', '22960', '36613', '43432'])
submarinesandwich	set([])
chives	set([])
cream	set(['18314', '18090', '01068', '01069', '01067', '06195', '06214', '28188', '06056', '43276', '08641', '43274', '06988', '06987', '04028', '06340', '06341', '06342', '43268', '06101', '06182', '18969', '01017', '18962', '18961', '42116', '11906', '11907', '08168', '08169', '06736', '06483', '06487', '06401', '06453', '18373', '06334', '06337', '06336', '06333', '06339', '06338', '06216', '19219', '19191', '06001', '06416', '06410', '11772', '06210', '06219', '06243', '06246', '08225', '42136', '43450', '08574', '14130', '06010', '06218', '06016', '01186', '06053', '01180', '06312', '06253', '06318', '06256', '06955', '21135', '01199', '01053', '01052', '01055', '01054', '01056', '01193', '01194', '28170', '27034', '42158', '14415', '42157', '19228', '08575', '06446', '08577', '08576', '06443', '08573', '19322', '19323', '18237', '08578', '19324', '19325', '01049', '01050', '12115', '12116', '11174', '06968', '01205', '01206', '42141', '18304', '18303', '06456', '01074', '11497', '06043', '06201', '06046', '18328', '06209', '08104', '08105', '08106', '08107', '08100', '08101', '08102', '08103', '01178', '01179'])
pudding	set(['19209', '19208', '19188', '19189', '19322', '19323', '19203', '19202', '19204', '19207', '19206', '19185', '19219', '18112', '03225', '03224', '19710', '03226', '19331', '19212', '03245', '19705', '03246', '19201', '19706', '19233', '19234', '19235', '19183', '19708', '19709', '19319', '19318', '19199', '19198', '19218', '19321', '19333', '19191', '19190', '19193', '19332', '19195', '19194', '44260', '03233', '19324', '19325', '19330', '36404', '43004', '44258', '19122', '19123', '44259', '19320', '19184', '19121', '11656', '44061'])
marmalade	set(['19303'])
glasses	set([])
boysenberry	set(['09057', '09056'])
Edamcheese	set([])
pan	set(['21297', '18954', '18955', '11391', '18958', '21272', '21498', '21294', '21275'])
torte	set([])
fork	set([])
Brusselssprouts	set([])
gravy	set(['06959', '06958', '08444', '16505', '16504', '06957', '06119', '06118', '06115', '06114', '06116', '06317', '06330', '06332', '06319', '06318', '22957', '06985', '06124', '06125', '06126', '06127', '06120', '06121', '06122', '06123', '06331', '06326', '06327', '06324', '06325', '06322', '06323', '06320', '06321', '06328', '06329', '06977', '06999', '06998', '06997', '06996', '05286'])
entree	set(['16605', '21046', '21047', '16600', '22528', '22529', '22916', '22915', '22522', '22911', '22402', '22997', '22995', '22958', '22992', '22991', '22990', '22401', '22976', '22970', '22247', '16597', '22904', '22905', '22906', '22985', '22980', '22981', '22982', '22983', '22984', '36401', '22989'])
cupboard	set([])
dates	set([])
kohlrabi	set(['11793', '11241', '11242'])
cuisine	set([])
molesauce	set([])
cheesecake	set(['28076', '18148', '18147', '28077'])
dragonfruit	set([])
chow	set(['36624', '20113', '36623'])
salmon	set(['15251', '35168', '15087', '15086', '15085', '15084', '15083', '15082', '15081', '15080', '15265', '35068', '15260', '15182', '15180', '15181', '15209', '15247', '35067', '35167', '15076', '15179', '35190', '35153', '35152', '35151', '35150', '35171', '35066', '15272', '15273', '35065', '15238', '35064', '04593', '15077', '15212', '15239', '15210', '15211', '15252', '15253', '15236', '15237', '15078', '15079', '35166', '15264', '35157'])
pear	set(['03132', '03133', '03158', '03159', '09413', '09412', '09415', '09414', '09439', '43408', '09432', '09431', '09262', '09340', '09260', '09261', '09099', '09098', '09106', '09105', '09104', '09103', '09102', '09101', '09100', '03141', '09255', '03163', '35199', '35198', '09287', '09097', '43544', '09096', '09253', '09408', '09259', '09258', '09257', '09256', '09444', '09254', '09374', '09252', '09440'])
nourishment	set([])
wasabi	set(['11990'])
utensils	set([])
gelatin	set(['06489', '19704', '19702', '19703', '19173', '19172', '19177', '19176', '19175'])
maplesyrup	set([])
rations	set([])
garlic	set(['18982', '28160', '06239', '22990', '06235', '06236', '06237', '06339', '28140', '28145', '06601', '28247', '22945', '11215', '16611', '16610', '02020', '06222', '06226', '06225', '06229', '18963', '06995', '28063'])
bambooshoots	set([])
shallots	set([])
taco	set(['21486', '21487', '21082', '21083', '21084', '36060', '36061', '18448', '06600', '06604', '18616', '05354', '21268', '18360', '21264', '21265', '21266', '21267', '21260', '21261', '21262', '21263', '02073', '02075', '21270', '21269'])
romaine	set(['11251'])
greentea	set([])
